Account or Security,Coupon,Maturity Date,Quantity,Cost Value,Market Value,Year,Industry
1.75% DUE 05-24-2019 REG ,1.75,05/24/19,320000,319862.4,318452.8,2016,
1.75% DUE 05-24-2019 REG ,4.88,01/15/21,890000,920473.6,909950.99,2020,
1.75% DUE 05-24-2019 REG ,1.88,07/12/21,250000,250227.5,250129.99,2021,
1ST REP BK SAN 2.375% DUE 06-1,2.38,06/17/19,755000,759469.6,753625.15,2017,
1ST REP BK SAN 2.375% DUE 06-1,2.38,06/17/19,755000,759469.6,750628.55,2018,
2.35% DUE 02-14-2019 BEO ,2.35,02/14/19,1800000,1795842,1794796.2,2018,
2.35% DUE 02-14-2019 BEO ,2.35,02/14/19,200000,199870,199421.8,2018,
2.35% DUE 02-14-2019 BEO ,2.06,07/14/21,1275000,1272003.75,1296460.65,2020,
21ST CENTY FOX,4.5,02/15/21,325000,336427.25,349710.4,2015,
21ST CENTY FOX,3.38,11/15/26,310000,309401.7,303886.18,2016,
3M CO 2.25% DUE 03-15-2023/10-,2.25,03/15/23,100000,101168,104482.64,2020,
3M CO NT 2.0% DUE 06-26-2022 ,2,06/26/22,200000,198880,199825.4,2019,
3M CO NT 2.0% DUE 06-26-2022 ,2,06/26/22,200000,198880,206289.91,2020,
3M COMPANY,1.375,08/07/18,165000,164706.3,164653.5,2015,
5.88% DUE 01-10-2028/10-10-201,5.75,10/23/17,110000,114055.7,113729.33,2016,
5.88% DUE 01-10-2028/10-10-201,5.75,10/23/17,798000,833774.34,825054.59,2016,
5.88% DUE 01-10-2028/10-10-201,5.88,01/10/28,715462.52,786701.13,784477.47,2017,
5.88% DUE 01-10-2028/10-10-201,5.88,01/10/28,689014.32,757619.48,731224.03,2018,
5.88% DUE 01-10-2028/10-10-201,5.88,01/10/28,633732.99,696833.79,700793.98,2019,
5.88% DUE 01-10-2028/10-10-201,5.88,01/10/28,575112.06,632375.96,648489.19,2020,
5.88% DUE 01-10-2028/10-10-201,3.75,04/15/23,290000,304152,297780.97,2020,
5.88% DUE 01-10-2028/10-10-201,3.75,04/15/23,790000,831312,827757.09,2021,
5.88% DUE 01-10-2028/10-10-201,3.75,04/15/23,790000,831312,790860.52,2022,
5TH 3RD BK CIN OH 1.625% DUE 0,2.3,03/15/19,812000,811813.24,812614.68,2017,
5TH 3RD BK CIN OH 1.625% DUE 0,1.63,09/27/19,700000,698838,691918.5,2017,
5TH 3RD BK CIN OH 1.625% DUE 0,2.3,03/15/19,812000,811813.24,809242.45,2018,
5TH 3RD BK CIN OH 1.625% DUE 0,1.63,09/27/19,700000,698838,689110.1,2018,
7-ELEVEN INC .625% DUE ,0.63,02/10/23,60000,59950.2,60035.72,2021,
7-ELEVEN INC .625% DUE ,0.8,02/10/24,150000,149875.5,149628.6,2021,
7-ELEVEN INC .625% DUE ,0.63,02/10/23,655000,654456.35,655389.99,2021,
7-ELEVEN INC .625% DUE ,0.63,02/10/23,900000,899253,900535.87,2021,
7-ELEVEN INC .625% DUE ,0.63,02/10/23,1495000,1493759.15,1495890.14,2021,
7-ELEVEN INC .625% DUE ,0.63,02/10/23,2097000,2098837.47,2098248.57,2021,
7-ELEVEN INC .625% DUE ,0.61,08/10/22,627000,627000,627281.52,2021,
7-ELEVEN INC SR NT .625%,1.8,02/10/31,925000,924491.25,884233.76,2021,
7-ELEVEN INC SR NT .625%,0.95,02/10/26,200000,199524,196402.86,2021,
7-ELEVEN INC SR NT .625%,0.63,02/10/23,60000,59950.2,58834.56,2022,
7-ELEVEN INC SR NT .625%,0.8,02/10/24,150000,149875.5,142117.65,2022,
7-ELEVEN INC SR NT .625%,0.63,02/10/23,655000,654456.35,642277.23,2022,
7-ELEVEN INC SR NT .625%,0.63,02/10/23,900000,899253,882518.34,2022,
7-ELEVEN INC SR NT .625%,0.95,02/10/26,200000,199524,176457.37,2022,
7-ELEVEN INC SR NT .625%,0.63,02/10/23,1495000,1493759.15,1465961.02,2022,
7-ELEVEN INC SR NT .625%,0.63,02/10/23,2097000,2098837.47,2056267.73,2022,
7-ELEVEN INC SR NT .625%,0.8,02/10/24,150000,149875.5,145380.8,2023,
7-ELEVEN INC SR NT .625%,0.95,02/10/26,200000,199524,178666.14,2023,
7-ELEVEN INC SR NT .625%,0.95,02/10/26,250000,225625,223332.68,2023,
A T & T,4.85,02/15/14,1270000,1269923.8,1350384.65,2009,
A T & T,7.88,03/01/11,150000,176955,161159.4,2009,
A T & T,4.85,02/15/14,1270000,1269923.8,1373386.89,2010,
A T & T,8.38,03/15/13,700000,735043.18,711038.3,2012,
ABB FIN USA INC 2.875% DUE 05-,2.88,05/08/22,280000,281226.4,284739.28,2019,
ABB FIN USA INC 2.875% DUE 05-,2.88,05/08/22,280000,281226.4,290782.36,2020,
ABB FIN USA INC 2.875% DUE 05-,2.88,05/08/22,907000,929765.7,927016.33,2021,
ABB TREAS CTR USA INC NT,4,06/15/21,120000,123054,123774,2019,
ABB TREAS CTR USA INC NT,4,06/15/21,120000,123054,123636.83,2020,
ABBEY NATL TREASURY SERV,3.875,11/10/14,600000,617124,616383.6,2013,
ABBEY NATL TREASURY SERV,1.375,03/13/17,875000,875382.45,873946.5,2014,
ABBEY NATL TREASURY SERV,1.375,03/13/17,170000,169801.1,169795.32,2014,
ABBEY NATL TREASURY SERV,1.375,03/13/17,275000,275120.2,273863.42,2015,
ABBEY NATL TREASURY SERV,4,04/27/16,1867000,1905460.2,1884191.33,2015,
ABBEY NATL TREASURY SERV,1.375,03/13/17,170000,169801.1,169297.39,2015,
