UNITID_P,Address,City,State,ZIP,men_total,women_total,Total
154110001,1625 HWY 150,CALMAR,IA,521329989,1622.0,2391.0,4013.0
110370001,80 Carolina St.,San Francisco,CA,94107,567.0,1063.0,1630.0
219824001,4501 AMNICOLA HWY,CHATTANOOGA,TN,374061097,2425.0,4150.0,6575.0
198987001,500 W BROAD STREET,STATESVILLE,NC,286775293,1297.0,1992.0,3289.0
138372001,955 E STORY RD,WINTER GARDEN,FL,34787,1049.0,575.0,1624.0
155089001,2100 W. UNIVERSITY  AVE.,WICHITA,KS,67213,725.0,967.0,1692.0
165167001,500 Rutherford Ave,Charlestown,MA,02129,561.0,1890.0,2451.0
182564001,2201 West College Parkway,Carson City,NV,897037399,1611.0,1917.0,3528.0
222062001,500 S. Davy Crockett Parkway,Morristown,TN,378136899,1879.0,3500.0,5379.0
188058001,921 PASEO DE ONATE,ESPANOLA,NM,87532,480.0,656.0,1136.0
218654001,#1 University Blvd.,Bluffton,SC,29909,629.0,1408.0,2037.0
167376001,100 Elliott Street,Haverhill,MA,018302399,1643.0,3127.0,4770.0
117645001,4901 East Carson Street,Long Beach,CA,90808,9291.0,12209.0,21500.0
232946001,4001 WAKEFIELD CHAPEL RD,ANNANDALE,VA,220033796,23163.0,26397.0,49560.0
486956001,630 U.S. Highway One,North Brunswick,NJ,08902,167.0,1052.0,1219.0
129242001,1073 NORTH BENSON RD,FAIRFIELD,CT,068245195,2342.0,3484.0,5826.0
176035001,1100 College Street,COLUMBUS,MS,39701,506.0,1971.0,2477.0
122205001,28000 MARGUERITE PARKWAY,MISSION VIEJO,CA,92692,7707.0,9685.0,17392.0
133492001,4200 54TH AVE S,SAINT PETERSBURG,FL,337114700,619.0,1417.0,2036.0
159966001,906 East First Street,THIBODAUX,LA,70301,2153.0,4072.0,6225.0
210270001,1140 Umpqua College Rd.,Roseburg,OR,974700226,733.0,1210.0,1943.0
131496001,37TH AND O ST NW,WASHINGTON,DC,20057,9352.0,11583.0,20935.0
151801001,4201 South Washington Street,MARION,IN,469534974,981.0,1881.0,2862.0
198950001,3800 HILLSBOROUGH ST,RALEIGH,NC,276075298,34.0,1677.0,1711.0
195058001,145 COLLEGE RD,SUFFERN,NY,10901,2532.0,3105.0,5637.0
135081001,1500 NW 49 Street,FORT LAUDERDALE,FL,333090000,5487.0,14374.0,19861.0
122597001,1600 Holloway Ave,San Francisco,CA,94132,11635.0,15264.0,26899.0
136516001,999 Ave. H NE,Winter Haven,FL,338814299,3111.0,5933.0,9044.0
163912001,18952 E. Fisher Road,Saint Mary's City,MD,206863001,649.0,895.0,1544.0
